year,rank,league,gpa,weight
2018,1,Victoria,"1,308.14",9.42
2018,2,Rose City,"1,102.62",7.94
2018,3,Gotham,"1,012.52",7.29
2018,4,Angel City,897.63,6.46
2018,5,Denver,864.47,6.22
2018,6,Texas,854.78,6.15
2018,7,Arch Rival,850.36,6.12
2018,8,Montréal,723.48,5.21
2018,9,Jacksonville,722.97,5.20
2018,10,London,701.98,5.05
2018,11,Crime City,696.12,5.01
2018,12,Bay Area,693.37,4.99
2018,13,Helsinki,667.76,4.81
2018,14,Rainy City,656.09,4.72
2018,15,Minnesota,639.22,4.60
2018,16,Atlanta,638.14,4.59
2018,17,Queen City,627.30,4.52
2018,18,Rat City,614.45,4.42
2018,19,2 x 4,611.19,4.40
2018,20,Tampa,581.93,4.19
2018,21,Sun State,581.37,4.18
2018,22,Stockholm,570.03,4.10
2018,23,Arizona,562.36,4.05
2018,24,Santa Cruz,555.78,4.00
2018,25,Windy City,527.96,3.80
2018,26,Detroit,518.37,3.73
2018,27,Philly,513.64,3.70
2018,28,Kallio,468.81,3.37
2018,29,Dallas,467.80,3.37
2018,30,Rocky Mountain,467.04,3.36
2018,31,Madison,456.53,3.29
2018,32,Naptown,449.96,3.24
2018,33,Bear City,449.08,3.23
2018,34,Charlottesville,443.43,3.19
2018,35,Boston,438.37,3.16
2018,36,Calgary,433.47,3.12
2018,37,Houston,428.74,3.09
2018,38,Sacramento,425.18,3.06
2018,39,Terminal City,420.68,3.03
2018,40,Paris,419.97,3.02
2018,41,Ann Arbor,416.29,3.00
2018,42,Tucson,414.02,2.98
2018,43,Blue Ridge,401.12,2.89
2018,44,OK Victory,398.85,2.87
2018,45,E-Ville,395.96,2.85
2018,46,Dublin,391.51,2.82
2018,47,Ohio,389.08,2.80
2018,48,Wasatch,389.05,2.80
2018,49,Jet City,387.69,2.79
2018,50,No Coast,385.98,2.78
2018,51,Sailor City,381.90,2.75
2018,52,Columbia QS,379.18,2.73
2018,53,Charm City,373.65,2.69
2018,54,Pirate City,369.54,2.66
2018,55,Treasure Vall,362.50,2.61
2018,56,Dub City,343.74,2.47
2018,57,Royal City,342.23,2.46
2018,58,Happy Valley,340.56,2.45
2018,59,DC,331.04,2.38
2018,60,Adelaide,331.01,2.38
2018,61,Boulder County,324.43,2.34
2018,62,Newcastle UK,323.67,2.33
2018,63,Gem City,320.51,2.31
2018,64,Sydney,320.44,2.31
2018,65,Dock City,318.90,2.30
2018,66,Des Moines,314.14,2.26
2018,67,Garden State,311.95,2.25
2018,68,Middlesbrough,307.57,2.21
