year,rank,league,gpa,weight
2020,1,Rose City,"1,518.21",10.42
2020,2,Victoria,"1,226.77",8.42
2020,3,Gotham,"1,208.22",8.29
2020,4,Denver,"1,163.61",7.99
2020,5,Arch Rival,"1,162.32",7.98
2020,6,Montréal,916.44,6.29
2020,7,Texas,910.57,6.25
2020,8,Angel City,886.37,6.08
2020,9,Philly,868.35,5.96
2020,10,Rainy City,786.32,5.40
2020,11,2 x 4,769.98,5.28
2020,12,Helsinki,750.67,5.15
2020,13,Crime City,745.72,5.12
2020,14,Canberra,737.09,5.06
2020,15,Santa Cruz,713.95,4.90
2020,16,Rat City,708.46,4.86
2020,17,Jacksonville,697.61,4.79
2020,18,London,686.74,4.71
2020,19,Atlanta,682.47,4.68
2020,20,Windy City,674.96,4.63
2020,21,Bay Area,641.99,4.41
2020,22,Arizona,628.37,4.31
2020,23,Queen City,607.05,4.17
2020,24,Bear City,602.53,4.14
2020,25,Stockholm,598.80,4.11
2020,26,Paris,577.74,3.97
2020,27,Ann Arbor,575.86,3.95
2020,28,Sailor City,562.66,3.86
2020,29,Sun State,557.10,3.82
2020,30,Dock City,542.38,3.72
2020,31,Calgary,541.87,3.72
2020,32,Houston,536.23,3.68
2020,33,Dublin,530.13,3.64
2020,34,Detroit,514.06,3.53
2020,35,Lomme,511.95,3.51
2020,36,Boston,499.37,3.43
2020,37,Kallio,498.85,3.42
2020,38,E-Ville,484.38,3.32
2020,39,Minnesota,480.72,3.30
2020,40,Rocky Mountain,475.51,3.26
2020,41,Naptown,472.33,3.24
2020,42,Columbia QS,461.42,3.17
2020,43,Jet City,459.13,3.15
2020,44,Happy Valley,457.98,3.14
2020,45,Blue Ridge,457.08,3.14
2020,46,Antwerp,443.15,3.04
2020,47,Madison,440.58,3.02
2020,48,Des Moines,440.50,3.02
2020,49,Middlesbrough,440.43,3.02
2020,50,Auld Reekie,436.02,2.99
2020,51,Sacramento,432.44,2.97
2020,52,Tiger Bay,422.47,2.90
2020,53,Tampa,420.57,2.89
2020,54,Central City,420.33,2.88
2020,55,North Star,413.61,2.84
2020,56,Tri-City,406.25,2.79
2020,57,Perth,405.25,2.78
2020,58,Adelaide,395.96,2.72
2020,59,Ohio,393.53,2.70
2020,60,Royal City,390.18,2.68
2020,61,Gem City,383.69,2.63
2020,62,Toronto,382.41,2.62
2020,63,Red Stick,380.45,2.61
2020,64,No Coast,374.57,2.57
2020,65,Dub City,370.85,2.55
2020,66,Roc City,353.21,2.42
2020,67,Cincinnati,335.42,2.30
2020,68,Ottawa Valley,334.25,2.29
2020,69,Steel City,321.65,2.21
2020,70,Classic City,321.18,2.20
2020,71,Grand Raggidy,320.95,2.20
2020,72,Madrid,319.99,2.20
2020,73,Rage City,318.98,2.19
2020,74,OK Victory,306.97,2.11
2020,75,Connecticut,306.90,2.11
2020,76,Birmingham,306.31,2.10
2020,77,Nottingham,305.72,2.10
2020,78,Amsterdam,303.97,2.09
2020,79,Assassination,302.32,2.07
2020,80,Brewcity,298.85,2.05
2020,81,Providence,298.29,2.05
2020,82,Pirate City,296.89,2.04
2020,83,V Town,295.67,2.03
2020,84,Gold Coast,294.91,2.02
2020,85,Wasatch,282.98,1.94
2020,86,Oslo,282.31,1.94
2020,87,Kansas City,281.56,1.93
2020,88,DC,279.66,1.92
2020,89,Penn Jersey,272.82,1.87
2020,90,Crossroads,271.97,1.87
2020,91,Tucson,268.69,1.84
2020,92,Charlottesville,268.09,1.84
2020,93,Rebellion,266.21,1.83
2020,94,Dallas,265.73,1.82
2020,95,Grtr Vancouver,264.42,1.81
2020,96,Brandywine,260.31,1.79
2020,97,10th Mountain,257.62,1.77
2020,98,Brussels,255.88,1.76
2020,99,Appalachian,254.91,1.75
2020,100,Pikes Peak,253.72,1.74
2020,101,Maine,249.80,1.71
2020,102,Twin State,248.69,1.71
2020,103,West Virginia,248.38,1.70
2020,104,Humboldt,245.09,1.68
2020,105,Duke City,237.62,1.63
2020,106,Big Easy,236.82,1.63
2020,107,Downriver,236.78,1.63
2020,108,Bradentucky,236.49,1.62
2020,109,Nashville,235.60,1.62
2020,110,Sydney,232.36,1.59
2020,111,Cherry City,231.44,1.59
2020,112,Charlotte,230.37,1.58
2020,113,Garden State,228.86,1.57
2020,114,Kalamazoo,228.57,1.57
2020,115,Québec,226.34,1.55
2020,116,Paris Quads,223.66,1.53
2020,117,Chattanooga,220.81,1.52
2020,118,Bay State,220.12,1.51
2020,119,Fort Myers,217.71,1.49
2020,120,FOCO,216.25,1.48
2020,121,Fox Cities,212.43,1.46
2020,122,Durham,211.54,1.45
2020,123,SoCal,211.16,1.45
2020,124,Charm City,210.91,1.45
2020,125,Dead End,208.63,1.43
2020,126,Black Rose,207.69,1.43
2020,127,Whakatane,206.99,1.42
2020,128,Baja,206.56,1.42
2020,129,Namur,203.32,1.40
2020,130,Boulder County,203.12,1.39
2020,131,Lehigh Valley,202.39,1.39
2020,132,Bellingham,202.27,1.39
2020,133,Tragic City,201.92,1.39
2020,134,Mother State,200.85,1.38
2020,135,Nantes,200.40,1.38
2020,136,Richter City,199.32,1.37
2020,137,Coast Assassin,194.63,1.34
2020,138,Newcastle UK,193.14,1.33
2020,139,Muddy River,192.22,1.32
2020,140,San Fernando,190.49,1.31
2020,141,Eves Destruct,189.51,1.30
2020,142,Confluence,187.96,1.29
2020,143,Magic City,184.98,1.27
2020,144,Greensboro,183.06,1.26
2020,145,Tampere,182.22,1.25
2020,146,Flint,182.16,1.25
2020,147,Bux-Mont,179.82,1.23
2020,148,Old Cap City,177.54,1.22
2020,149,Twin Valleys,174.94,1.20
2020,150,North Texas,174.70,1.20
2020,151,Fernie,173.26,1.19
2020,152,Norrköping,173.16,1.19
2020,153,Akron,171.84,1.18
2020,154,Gorge,171.63,1.18
2020,155,Copenhagen,171.29,1.18
2020,156,Naughty Pines,171.23,1.18
2020,157,Reading,168.77,1.16
2020,158,Northside,168.73,1.16
2020,159,Fayetteville,167.24,1.15
2020,160,Lutèce,165.30,1.13
2020,161,Vette City,164.47,1.13
2020,162,Anchor City,163.58,1.12
2020,163,Hellions Troy,162.17,1.11
2020,164,Convict City,161.37,1.11
2020,165,Chippewa,161.04,1.11
2020,166,Rocket City,159.38,1.09
2020,167,Palouse River,158.96,1.09
2020,168,DuPage,157.64,1.08
2020,169,Dark River,156.55,1.07
2020,170,Hartford,156.34,1.07
2020,171,Cornfed,156.08,1.07
2020,172,Dunedin,155.51,1.07
2020,173,Twin City IL,155.04,1.06
2020,174,Dirty River,154.17,1.06
2020,175,Bakersfld Diam,153.81,1.06
2020,176,Rockin' City,153.38,1.05
2020,177,Winnipeg,153.15,1.05
2020,178,Lowcountry,151.36,1.04
2020,179,Treasure Vall,151.32,1.04
2020,180,Western Aus,151.29,1.04
2020,181,Panhandle,151.04,1.04
2020,182,Zürich City,148.44,1.02
2020,183,Dundee,145.76,1.00
2020,184,Burning River,145.71,1.00
2020,185,Dockyard,145.55,1.00
2020,186,Orlando,145.39,1.00
2020,187,RGV Bandidas,145.22,1.00
2020,188,Cape Fear,143.57,0.99
2020,189,Free State,142.47,0.98
2020,190,High Altitude,142.17,0.98
2020,191,Quad City,140.83,0.97
2020,192,Saskatoon,140.37,0.96
2020,193,Storm City,139.45,0.96
2020,194,Mason-Dixon,138.60,0.95
2020,195,Vienna,135.79,0.93
2020,196,Demolition,135.32,0.93
2020,197,Vicenza,134.03,0.92
2020,198,Salt City,133.66,0.92
2020,199,Caen,132.58,0.91
2020,200,Peach State,131.99,0.91
2020,201,Carolina,129.86,0.89
2020,202,Gallatin,129.68,0.89
2020,203,Leeds,128.99,0.89
2020,204,Barcelona,128.64,0.88
2020,205,River City,127.29,0.87
2020,206,Traverse City,126.21,0.87
2020,207,Sonoma County,125.68,0.86
2020,208,Sierra Region,124.71,0.86
2020,209,South Coast,124.37,0.85
2020,210,Ft. Wayne,124.17,0.85
2020,211,Liverpool,123.82,0.85
2020,212,Dresden,123.61,0.85
2020,213,Circle City,123.24,0.85
2020,214,Gainesville,122.12,0.84
2020,215,Acadiana,121.87,0.84
2020,216,Glasgow,121.78,0.84
2020,217,NW Arkansas,121.33,0.83
2020,218,Capital City,121.28,0.83
2020,219,New Jersey,120.25,0.83
2020,220,CoMo,119.54,0.82
